Date,Open,High,Low,Close,Volume,Market Cap
"Apr 23, 2016",6.28,6.52,6.18,6.51,241922,40127700
"Apr 23, 2017",71.18,72.24,68.77,68.89,8328060,515838000
"Apr 24, 2014",0.871977,1.15,0.871977,1.06,329106,3596660
"Apr 24, 2015",3.63,3.63,3.06,3.18,184435,19273000
"Apr 24, 2016",6.5,6.61,6.37,6.44,236604,41556400
"Apr 24, 2017",68.93,72.22,68.93,72.2,7918480,499641000
"Apr 25, 2014",1.06,1.97,1,1.69,794049,4372240
"Apr 25, 2015",3.19,3.29,3.07,3.1,56721,16941600
"Apr 25, 2016",6.43,6.43,6.13,6.17,269831,41150900
"Apr 25, 2017",72.19,72.94,71.62,72.07,8641860,523445000
"Apr 26, 2014",1.71,2.41,1.39,1.72,1204200,7094160
"Apr 26, 2015",3.1,3.1,2.93,3.05,95532,16447900
"Apr 26, 2016",6.21,6.24,5.81,6.08,249141,39730900
"Apr 26, 2017",72.04,72.23,70.68,71.53,8605760,522517000
"Apr 27, 2014",1.7,2,1.54,1.71,509028,7054200
"Apr 27, 2015",3.05,3.16,2.92,2.99,88755,16204900
"Apr 27, 2016",6.1,6.62,5.95,6.28,422258,39041800
"Apr 27, 2017",71.52,80.62,71.08,78.17,18560500,518868000
"Apr 28, 2014",1.67,1.77,1.62,1.67,198793,6957830
"Apr 28, 2015",2.99,3.06,2.91,3.04,68693,15929400
"Apr 28, 2016",6.33,6.56,6.25,6.46,224846,40567700
"Apr 28, 2017",78.02,80.93,77.32,79.49,16201200,566202000
"Apr 29, 2014",1.67,1.7,1.45,1.64,302458,6952590
"Apr 29, 2015",3.02,3.05,2.89,2.97,30506,16075700
"Apr 29, 2016",6.46,6.67,6.32,6.6,281894,41360700
"Apr 29, 2017",79.67,100.46,79.67,94.95,39496900,578278000
"Apr 30, 2014",1.63,1.66,1.49,1.54,38202,6827410
"Apr 30, 2015",2.97,3.02,2.89,2.97,84241,15814200
"Apr 30, 2016",6.62,6.86,6.56,6.83,293789,42428700
"Apr 30, 2017",94.21,97.13,88.8,91.55,19963300,684050000
"Aug 01, 2014",5.55,5.81,5.22,5.64,252698,25079000
"Aug 01, 2015",3.68,3.7,3.52,3.61,63209,20694700
"Aug 01, 2016",9.45,10.48,9.45,9.9,1088710,62649200
"Aug 01, 2017",179.2,186.23,177.26,184.75,34656300,1336810000
"Aug 02, 2014",5.63,6,5.62,5.71,185190,25475400
"Aug 02, 2015",3.61,3.65,3.56,3.62,42888,20345400
"Aug 02, 2016",10.02,10.24,9.06,9.16,1182910,66476200
"Aug 02, 2017",185.16,186.24,181.42,182.93,19076200,1381630000
"Aug 03, 2014",5.7,6.13,5.58,5.8,280722,25819300
"Aug 03, 2015",3.62,3.67,3.56,3.61,56701,20399000
"Aug 03, 2016",9.29,9.64,9.11,9.33,719797,61646200
"Aug 03, 2017",183.17,189.19,180.28,186.99,25612400,1367150000
"Aug 04, 2014",5.82,5.82,5.3,5.31,179607,26380600
"Aug 04, 2015",3.61,3.72,3.61,3.64,93372,20357800
"Aug 04, 2016",9.32,9.55,9.21,9.53,413348,61830600
"Aug 04, 2017",186.92,189.96,186.13,186.97,28791800,1395520000
"Aug 05, 2014",5.31,5.47,5.2,5.41,107685,24053200
"Aug 05, 2015",3.64,3.67,3.57,3.58,55070,20547800
"Aug 05, 2016",9.53,9.83,9.45,9.72,284062,63292400
"Aug 05, 2017",186.96,195.55,185.73,193.83,41127900,1397060000
"Aug 06, 2014",5.39,5.89,5.39,5.77,211361,24444200
"Aug 06, 2015",3.58,3.58,3.51,3.52,48908,20193000
"Aug 06, 2016",9.71,10.71,9.69,10.55,638130,64524400
"Aug 06, 2017",193.71,195,188.43,189.13,25336000,1447880000
"Aug 07, 2014",5.77,5.84,5.49,5.65,140303,26184200
"Aug 07, 2015",3.51,3.52,3.23,3.26,229950,19848100
"Aug 07, 2016",10.59,10.65,10.13,10.35,458848,70393200
"Aug 07, 2017",189.07,197.91,187.05,197.19,32441600,1413570000
"Aug 08, 2014",5.66,6.05,5.65,5.99,269415,25676800
"Aug 08, 2015",3.27,3.29,3.06,3.08,91264,18477800
"Aug 08, 2016",10.34,10.51,10.1,10.38,453814,68797400
"Aug 08, 2017",196.58,205.5,194.97,203.84,35117200,1470120000
"Aug 09, 2014",6.03,6.04,5.53,5.59,235890,27396600
"Aug 09, 2015",3.08,3.2,3.08,3.11,77488,17418300
"Aug 09, 2016",10.35,10.56,10.29,10.3,365466,68887400
"Aug 09, 2017",203.74,205.87,193.33,199.21,31657100,1524040000
"Aug 10, 2014",5.6,5.86,5.39,5.72,218033,25451100
"Aug 10, 2015",3.1,3.15,3.06,3.08,59702,17558200
"Aug 10, 2016",10.32,10.51,10.23,10.44,357513,68670400
"Aug 10, 2017",199.56,205.54,195.78,200.96,30972000,1493200000
"Aug 11, 2014",5.72,5.74,5.05,5.08,223309,26027300
"Aug 11, 2015",3.08,3.16,3.06,3.16,73134,17437300
"Aug 11, 2016",10.44,11.22,10.4,11.08,534511,69495500
"Aug 11, 2017",200.82,209.11,199.59,205.79,28677400,1502990000
"Aug 12, 2014",5.07,5.15,4.91,5.02,94300,23097300
"Aug 12, 2015",3.16,3.18,3.06,3.06,113443,17915300
"Aug 12, 2016",11.09,12.86,10.77,12.59,2030400,73849400
"Aug 12, 2017",206.22,210.64,201.38,205.49,30017500,1543820000
"Aug 13, 2014",5.02,5.09,4.34,4.86,287212,22864000
"Aug 13, 2015",3.05,3.07,3,3.06,66249,17319800
"Aug 13, 2016",12.56,13.61,12.09,12.91,1847650,83697900
"Aug 13, 2017",205.59,207.19,192.14,198.17,36281800,1539490000
"Aug 14, 2014",4.87,4.91,3.87,4.06,197663,22211800
"Aug 14, 2015",3.06,3.1,3.02,3.03,74860,17378700
"Aug 14, 2016",12.82,15.05,12.74,14.48,3708120,85451600
"Aug 14, 2017",198.32,202.89,195.35,199.44,29888400,1485500000
"Aug 15, 2014",4.09,4.41,3.41,3.64,276892,18640900
"Aug 15, 2015",3.02,3.06,2.96,2.98,37005,17164800
"Aug 15, 2016",14.52,14.94,12.6,13.3,3240540,96808800
"Aug 15, 2017",199.8,206.13,192.73,203.52,37532600,1496920000
"Aug 16, 2014",3.64,3.64,2.92,2.92,296592,16619900
"Aug 16, 2015",2.98,2.99,2.88,2.94,46752,16899500
"Aug 16, 2016",13.23,13.32,11.48,12.87,2724180,88224700
"Aug 16, 2017",203.85,233.53,198.92,232.02,63100100,1527710000
"Aug 17, 2014",2.94,3.04,2.2,2.36,370021,13439000
"Aug 17, 2015",2.95,3.12,2.91,2.91,80183,16739200
"Aug 17, 2016",12.91,13.05,12.25,12.55,1054880,86139000
"Aug 17, 2017",231.58,260.6,229.08,233.62,98375500,1736000000
"Aug 18, 2014",2.36,2.49,1.37,1.54,699964,10783300
"Aug 18, 2015",2.91,2.91,2.67,2.67,83076,16551500
"Aug 18, 2016",12.45,14.18,12.45,13.86,2019880,83107600
"Aug 18, 2017",233.84,240.41,219.42,224.28,50324200,1753350000
"Aug 19, 2014",1.55,3.32,1.44,3.32,674022,7077960
"Aug 19, 2015",2.6,2.78,2.58,2.64,74748,14812700
"Aug 19, 2016",13.83,14.83,13.3,13.78,2879380,92310700
"Aug 19, 2017",224.67,329.98,224.67,288.7,220487000,1685040000
"Aug 20, 2014",3.36,3.91,3.18,3.81,722557,15377700
"Aug 20, 2015",2.64,2.8,2.63,2.78,49346,15018700
"Aug 20, 2016",13.75,14.09,12.93,13.1,1451660,91807800
"Aug 20, 2017",288.2,327.25,287.82,294.2,107973000,2162080000
"Aug 21, 2014",3.8,3.89,3.37,3.38,241925,17412100
"Aug 21, 2015",2.78,2.8,2.74,2.76,49749,15813000
"Aug 21, 2016",13.09,13.69,12.97,13.41,1177950,87463500
"Aug 21, 2017",293.77,300.52,275.94,279.58,58023900,2204480000
"Aug 22, 2014",3.37,3.42,2.81,3.17,286798,15430600
"Aug 22, 2015",2.76,2.78,2.62,2.68,52550,15728800
"Aug 22, 2016",13.41,14.45,13.41,14.21,1409370,89571100
"Aug 22, 2017",280.29,299.98,260.53,291.5,74971200,2103900000
"Aug 23, 2014",3.17,3.31,2.98,2.99,132039,14503600
"Aug 23, 2015",2.68,2.72,2.62,2.64,30625,15274500
"Aug 23, 2016",14.35,14.35,12.63,13.42,1404690,95908200
"Aug 23, 2017",290.46,299.14,287.73,292.57,47798300,2180790000
"Aug 24, 2014",2.99,3.13,2.98,3.09,64140,13697900
"Aug 24, 2015",2.63,2.64,2.38,2.38,125485,15036300
"Aug 24, 2016",13.49,13.62,12.95,13.28,797964,90187900
"Aug 24, 2017",292.96,315.37,291.19,315.37,58804500,2200130000
"Aug 25, 2014",3.09,3.09,2.67,2.68,133764,14164300
"Aug 25, 2015",2.37,2.56,2.24,2.53,69322,13506000
"Aug 25, 2016",13.31,13.45,12.3,12.31,935742,89033500
"Aug 25, 2017",317.91,320.65,306.68,315.89,53632700,2388160000
