Date,Open,High,Low,Close,Volume,Market Cap
23-Jul-17,555.89,578.97,411.78,413.06,"85,013",-
24-Jul-17,412.58,578.89,409.21,440.7,"190,952",-
25-Jul-17,441.35,541.66,338.09,406.9,"524,908",-
26-Jul-17,407.08,486.16,321.79,365.82,"1,784,640",-
27-Jul-17,417.1,460.97,367.78,385.48,"533,207",-
28-Jul-17,386.65,465.18,217.06,406.05,"1,230,160",-
29-Jul-17,410.56,423.73,323.73,384.77,"737,815",-
30-Jul-17,385.14,385.14,316.25,345.66,"606,695",-
31-Jul-17,346.36,347.82,266.19,294.46,"1,075,960",-
1-Aug-17,294.6,426.11,210.38,380.01,"65,988,800",-
2-Aug-17,382.38,756.93,309.33,452.66,"416,207,000","6,302,360,000"
3-Aug-17,448.49,519.28,364.05,364.05,"161,518,000","7,392,030,000"
4-Aug-17,362.18,386.93,233.05,233.05,"185,038,000","5,969,720,000"
5-Aug-17,231.11,273.04,200.98,213.15,"144,043,000","3,809,330,000"
6-Aug-17,212.18,223.7,203.44,220.66,"107,606,000","3,497,290,000"
7-Aug-17,223.76,373.87,223.76,319.69,"346,546,000","3,688,360,000"
8-Aug-17,321.35,386.29,309.61,345.49,"274,880,000","5,297,390,000"
9-Aug-17,345.28,349.32,298.61,303.89,"165,032,000","5,691,960,000"
10-Aug-17,305.21,311.68,274.68,275.95,"136,637,000","5,031,790,000"
11-Aug-17,275.88,351.16,275.02,328.24,"233,971,000","4,548,600,000"
12-Aug-17,327.82,341.85,313.7,317.09,"126,007,000","5,405,200,000"
13-Aug-17,316.29,317.47,298.05,298.05,"120,722,000","5,215,330,000"
14-Aug-17,296.1,327.39,293.5,297.68,"174,968,000","4,882,720,000"
15-Aug-17,298.19,306.52,292.88,297.86,"133,924,000","4,917,480,000"
16-Aug-17,297.97,307.62,290.21,300.21,"106,436,000","4,914,350,000"
17-Aug-17,301.02,460.53,293.1,460.53,"744,605,000","4,964,980,000"
18-Aug-17,458.67,764.07,458.67,690.24,"3,087,490,000","7,565,590,000"
19-Aug-17,697.04,1091.97,625.16,754.56,"3,196,230,000","11,498,100,000"
20-Aug-17,772.42,858.96,683.94,712.87,"1,494,020,000","12,742,600,000"
21-Aug-17,723.7,756.59,573.47,599.63,"1,123,400,000","11,943,100,000"
22-Aug-17,596.19,734.88,570.27,690.88,"1,393,260,000","9,844,620,000"
23-Aug-17,690.96,715.67,651.32,669.4,"501,983,000","11,416,800,000"
24-Aug-17,670.03,697.32,617.31,628.11,"407,177,000","11,071,100,000"
25-Aug-17,627.06,665.41,624.3,641.05,"348,632,000","10,365,600,000"
26-Aug-17,641.88,646.93,622.36,625.32,"193,414,000","10,616,100,000"
27-Aug-17,625.89,654.87,589.63,620.9,"402,718,000","10,357,000,000"
28-Aug-17,619.7,626.88,595.52,596.18,"216,273,000","10,254,800,000"
29-Aug-17,596.13,599.3,528.32,552.93,"370,017,000","9,866,110,000"
30-Aug-17,549.32,604.69,535.92,575.21,"443,856,000","9,092,300,000"
31-Aug-17,576.25,603.69,572.14,588.17,"298,144,000","9,538,750,000"
