Date,Open,High,Low,Close,Volume,Market Cap
24-May-17,6.42,6.76,5.68,6.19,"11,221,600",-
25-May-17,6.19,6.29,4.57,4.66,"6,211,020",-
26-May-17,4.66,5.33,3.39,4.1,"5,116,020",-
27-May-17,4.05,4.53,3.19,4.53,"7,046,840",-
28-May-17,4.86,5.06,4.19,4.62,"4,353,380",-
29-May-17,4.64,4.88,4.36,4.6,"2,205,420",-
30-May-17,4.62,5.07,4.53,4.65,"2,836,480",-
31-May-17,4.61,4.88,4.5,4.86,"3,011,070",-
1-Jun-17,4.86,8.37,4.78,7.79,"28,193,200",-
2-Jun-17,7.86,13.6,7.86,13.46,"54,232,400",-
3-Jun-17,13.17,13.7,11.39,12.54,"39,565,100",-
4-Jun-17,12.73,12.78,11.34,12.15,"15,253,900",-
5-Jun-17,12.13,12.58,10.88,11.17,"10,290,000",-
6-Jun-17,10.98,12.02,10.17,11.5,"11,135,000",-
7-Jun-17,11.57,11.86,10.93,10.97,"6,104,140",-
8-Jun-17,10.92,12.54,10.26,12.35,"12,978,300",-
9-Jun-17,12.35,13.12,11.3,11.74,"14,694,100",-
10-Jun-17,11.75,12.1,11.12,11.33,"14,370,200",-
11-Jun-17,11.36,12.23,11.1,11.76,"11,384,700",-
12-Jun-17,11.77,11.82,10.87,10.96,"8,663,550",-
13-Jun-17,11.06,12.52,10.97,12.42,"16,198,200",-
14-Jun-17,12.4,13.01,11.29,11.77,"18,671,800",-
15-Jun-17,11.8,11.8,9.8,11.11,"13,740,900",-
16-Jun-17,11.11,11.73,10.69,11.29,"7,179,610",-
17-Jun-17,11.24,11.45,11.02,11.25,"6,961,310",-
18-Jun-17,11.25,11.29,10.4,10.58,"5,475,110",-
19-Jun-17,10.49,11.3,10.26,10.59,"12,893,100",-
20-Jun-17,10.57,12.88,10.44,11.49,"22,123,200",-
21-Jun-17,11.4,12.55,11.38,11.83,"10,464,200",-
22-Jun-17,11.92,12.45,11.74,12.1,"16,740,600",-
23-Jun-17,12.13,18.58,11.97,16.99,"66,737,400",-
24-Jun-17,16.8,18.85,16.02,16.35,"34,660,100",-
25-Jun-17,16.34,16.7,14.36,14.92,"22,702,400",-
26-Jun-17,14.96,14.96,10.64,12.61,"25,803,900",-
27-Jun-17,12.27,15.19,11.94,14.47,"42,563,100",-
28-Jun-17,14.68,15.68,12.97,13.83,"40,650,500",-
29-Jun-17,14.09,14.09,12.33,12.48,"18,516,000",-
30-Jun-17,12.46,12.57,11.66,12.03,"14,022,600",-
1-Jul-17,11.96,12.12,10.37,10.39,"10,832,000",-
