Date,Open,High,Low,Close,Volume,Market Cap
21-May-14,2.47,2.65,1.23,1.6,"246,540","2,079,640"
22-May-14,1.59,2.19,1.36,2.1,"132,918","1,371,470"
23-May-14,2.05,3.43,2.05,2.96,"266,852","1,816,200"
24-May-14,2.92,4.01,2.62,3.7,"248,028","2,653,720"
25-May-14,4.04,4.04,2.8,3.14,"283,545","3,774,890"
26-May-14,3.22,3.76,2.31,3.02,"220,148","3,070,190"
27-May-14,3.03,3.03,2.07,2.21,"97,603","2,958,060"
28-May-14,2.24,2.85,1.91,2.27,"177,716","2,231,880"
29-May-14,2.21,2.49,1.68,1.68,"109,157","2,251,030"
30-May-14,1.68,1.87,1.08,1.57,"119,296","1,742,630"
31-May-14,1.58,2.28,1.41,1.94,"117,399","1,675,440"
1-Jun-14,1.94,2.57,1.54,1.74,"130,602","2,111,850"
2-Jun-14,1.76,1.94,1.6,1.73,"47,672","1,964,820"
3-Jun-14,1.73,2.1,1.65,1.93,"91,332","1,966,370"
4-Jun-14,1.93,1.99,1.71,1.81,"51,886","2,238,440"
6-Jun-14,1.46,1.51,1.17,1.24,"100,635","1,781,530"
7-Jun-14,1.24,1.69,1.21,1.36,"44,187","1,523,430"
8-Jun-14,1.36,1.44,1.24,1.34,"40,634","1,702,900"
9-Jun-14,1.33,1.64,1.27,1.52,"56,500","1,697,580"
10-Jun-14,1.48,2.39,1.31,1.73,"182,599","1,917,820"
11-Jun-14,1.72,2.17,1.53,1.62,"85,735","2,279,840"
12-Jun-14,1.62,2.17,1.53,1.74,"108,619","2,174,900"
13-Jun-14,1.65,1.96,1.62,1.92,"84,237","2,257,650"
14-Jun-14,1.93,2.82,1.88,2.34,"276,919","2,677,530"
15-Jun-14,2.32,2.75,2.25,2.69,"150,652","3,288,170"
16-Jun-14,2.72,3.55,2.62,3.18,"438,776","3,905,660"
17-Jun-14,3.15,3.31,2.72,2.82,"228,445","4,601,540"
18-Jun-14,2.9,2.98,2.46,2.79,"183,102","4,304,890"
19-Jun-14,2.78,3.52,2.68,3.13,"283,962","4,188,790"
20-Jun-14,3.17,4.59,3.12,4.56,"543,764","4,844,000"
21-Jun-14,4.33,5.85,4.14,5.01,"723,077","6,730,580"
22-Jun-14,4.98,5.21,4.02,4.35,"491,984","7,853,920"
23-Jun-14,4.28,4.82,3.77,3.98,"433,301","6,851,250"
24-Jun-14,3.93,4.07,2.96,3.28,"150,995","6,374,590"
25-Jun-14,3.23,3.39,2.63,3.39,"217,183","5,313,820"
26-Jun-14,3.28,3.38,2.8,2.89,"117,740","5,471,230"
27-Jun-14,2.98,3,2.07,2.2,"250,643","5,044,180"
28-Jun-14,2.32,2.9,2.25,2.55,"184,970","3,997,740"
29-Jun-14,2.55,2.76,2.26,2.54,"138,511","4,434,960"
30-Jun-14,2.55,2.7,2.44,2.5,"124,575","4,484,350"
1-Jul-14,2.51,2.65,2.34,2.35,"98,540","4,470,350"
2-Jul-14,2.34,2.54,2.26,2.31,"101,095","4,225,600"
3-Jul-14,2.31,2.82,2.23,2.64,"168,532","4,217,730"
4-Jul-14,2.64,3,2.54,2.64,"148,555","4,899,760"
5-Jul-14,2.64,2.64,2.44,2.47,"68,525","4,956,910"
6-Jul-14,2.47,2.48,2.29,2.4,"77,663","4,690,900"
7-Jul-14,2.4,2.4,1.95,1.99,"111,370","4,609,840"
8-Jul-14,1.98,2.36,1.97,2.35,"94,993","3,851,290"
9-Jul-14,2.3,2.31,1.99,2.01,"69,554","4,518,280"
10-Jul-14,2.03,2.09,1.86,1.89,"89,099","4,033,590"
11-Jul-14,1.86,1.92,1.72,1.79,"116,666","3,746,700"
12-Jul-14,1.79,1.94,1.72,1.73,"65,375","3,648,870"
13-Jul-14,1.73,1.97,1.46,1.79,"122,049","3,562,450"
14-Jul-14,1.79,1.99,1.62,1.97,"100,284","3,716,450"
15-Jul-14,1.95,2.2,1.79,2.11,"136,205","4,096,760"
16-Jul-14,2.16,2.93,2.05,2.71,"353,430","4,585,570"
17-Jul-14,2.71,3.58,2.64,2.98,"503,684","5,804,450"
18-Jul-14,3.03,3.29,2.46,2.62,"348,336","6,577,180"
19-Jul-14,2.59,3.07,2.54,2.88,"169,471","5,680,000"
20-Jul-14,2.88,2.93,2.58,2.63,"116,853","6,372,740"
21-Jul-14,2.67,3.14,2.65,3.09,"243,140","5,978,470"
22-Jul-14,3.09,3.32,3.01,3.2,"262,049","6,966,760"
23-Jul-14,3.2,3.24,2.84,2.91,"274,946","7,296,220"
24-Jul-14,2.92,2.97,2.28,2.36,"292,547","6,717,400"
25-Jul-14,2.37,2.71,2.31,2.71,"182,887","5,500,730"
26-Jul-14,2.7,2.77,2.51,2.62,"125,320","6,327,920"
27-Jul-14,2.62,2.65,2.45,2.55,"111,827","6,211,480"
28-Jul-14,2.55,2.7,2.42,2.7,"141,903","6,102,470"
29-Jul-14,2.7,2.8,2.56,2.62,"272,756","6,507,970"
30-Jul-14,2.62,2.63,2.5,2.54,"79,830","6,374,650"
31-Jul-14,2.52,2.64,2.49,2.55,"111,065","6,187,770"
1-Aug-14,2.57,2.67,2.49,2.67,"145,177","6,361,190"
2-Aug-14,2.67,2.73,2.5,2.5,"101,031","6,665,580"
3-Aug-14,2.5,2.5,2.25,2.36,"144,327","6,295,750"
4-Aug-14,2.36,37.78,1.99,2.01,"234,647","5,992,660"
5-Aug-14,2.01,2.2,1.98,2.15,"94,391","5,154,370"
6-Aug-14,2.2,2.28,2.13,2.19,"76,411","5,698,660"
7-Aug-14,2.19,2.24,2.1,2.14,"88,304","5,713,790"
8-Aug-14,2.14,2.21,2.11,2.18,"87,502","5,636,120"
9-Aug-14,2.17,2.18,2.08,2.1,"72,351","5,760,020"
10-Aug-14,2.05,2.12,1.99,2.06,"80,847","5,482,750"
11-Aug-14,2.04,2.17,1.93,2.08,"132,234","5,505,760"
12-Aug-14,2.08,2.1,1.97,2,"114,580","5,649,600"
13-Aug-14,2,2.04,1.83,1.9,"89,506","5,465,790"
14-Aug-14,1.91,1.92,1.69,1.76,"99,815","5,280,750"
15-Aug-14,1.78,1.8,1.52,1.59,"182,760","4,932,750"
16-Aug-14,1.59,1.61,1.49,1.6,"82,703","4,413,540"
17-Aug-14,1.6,1.65,1.42,1.46,"72,244","4,447,240"
18-Aug-14,1.47,1.65,1.34,1.45,"108,222","4,074,930"
19-Aug-14,1.45,1.65,1.39,1.65,"98,273","4,013,520"
20-Aug-14,1.66,1.96,1.61,1.83,"286,655","4,795,780"
21-Aug-14,1.84,1.9,1.78,1.82,"141,302","5,337,170"
22-Aug-14,1.82,1.9,1.75,1.78,"118,268","5,331,550"
23-Aug-14,1.78,1.86,1.73,1.81,"81,316","5,236,920"
24-Aug-14,1.81,1.97,1.81,1.95,"113,086","5,377,400"
25-Aug-14,1.95,2.08,1.89,2.05,"179,315","5,843,100"
26-Aug-14,2.09,2.1,1.9,2.01,"191,411","6,291,750"
27-Aug-14,2.01,2.04,1.94,2.01,"125,364","6,098,760"
28-Aug-14,2,2.24,2,2.21,"246,829","6,110,120"
29-Aug-14,2.18,2.28,2.14,2.21,"219,724","6,708,610"
30-Aug-14,2.21,2.49,2.19,2.44,"270,668","6,832,530"
31-Aug-14,2.43,2.56,2.1,2.17,"308,396","7,577,360"
