Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,39.889999,39.959999,39.150002,39.200001,36.756039,1051300
2014-01-03,39.290001,39.980000,39.290001,39.779999,37.299877,1222300
2014-01-06,39.689999,40.049999,39.500000,39.880001,37.393646,1525000
2014-01-07,40.110001,40.369999,39.799999,40.070000,37.571796,917300
2014-01-08,40.700001,40.740002,40.020000,40.180000,37.674946,1714900
2014-01-09,40.480000,40.740002,40.150002,40.240002,37.731205,833200
2014-01-10,40.240002,40.529999,39.830002,39.919998,37.431149,1054700
2014-01-13,39.720001,40.270000,38.910000,39.150002,36.709160,1072700
2014-01-14,39.320000,39.799999,39.209999,39.740002,37.262371,836500
2014-01-15,39.889999,39.910000,39.080002,39.520000,37.056091,1066700
2014-01-16,39.380001,39.980000,39.380001,39.980000,37.487408,1860600
2014-01-17,39.950001,40.000000,39.430000,39.720001,37.243626,1042800
2014-01-21,39.790001,40.119999,39.279999,39.400002,36.943577,1212100
2014-01-22,39.349998,39.750000,39.209999,39.500000,37.037334,998300
2014-01-23,39.310001,39.490002,38.439999,38.700001,36.287212,1219900
2014-01-24,38.310001,38.599998,37.580002,37.599998,35.255787,1299600
2014-01-27,37.830002,38.080002,37.189999,37.320000,34.993252,1003100
2014-01-28,37.200001,37.820000,37.169998,37.650002,35.302681,1603500
2014-01-29,37.419998,37.759998,37.060001,37.200001,34.880737,1493000
2014-01-30,37.400002,38.630001,37.400002,38.410000,36.015289,1441900
2014-01-31,37.900002,38.650002,37.509998,38.150002,35.771503,1514000
2014-02-03,38.160000,38.529999,37.080002,37.130001,34.815098,1492400
2014-02-04,37.099998,38.169998,36.369999,37.790001,35.433945,1938400
2014-02-05,37.299999,38.330002,36.849998,38.150002,35.771503,1430600
2014-02-06,38.369999,38.599998,37.730000,37.849998,35.490208,1366700
2014-02-07,38.000000,38.080002,37.459999,37.540001,35.199535,1913100
2014-02-10,37.610001,37.730000,37.349998,37.509998,35.171402,1820100
2014-02-11,37.509998,38.529999,37.509998,38.369999,35.977783,1066200
2014-02-12,38.340000,38.730000,38.200001,38.590000,36.184074,731600
2014-02-13,38.459999,38.849998,38.299999,38.689999,36.277836,391500
2014-02-14,38.599998,38.770000,38.320000,38.720001,36.305977,590700
2014-02-18,38.910000,39.619999,38.730000,39.110001,36.671654,1064500
2014-02-19,39.200001,39.790001,38.990002,39.570000,37.102978,1907700
2014-02-20,39.419998,39.639999,39.180000,39.480000,37.018581,957700
2014-02-21,39.430000,39.740002,38.889999,38.930000,36.502880,1621600
2014-02-24,38.799999,39.650002,38.639999,39.119999,36.681026,1063100
2014-02-25,38.970001,39.400002,38.680000,39.070000,36.634144,1021900
2014-02-26,39.040001,39.299999,38.310001,38.349998,35.959026,1713100
2014-02-27,38.290001,38.549999,38.070000,38.419998,36.024670,1481100
2014-02-28,38.500000,39.060001,38.259998,38.389999,35.996540,1133500
2014-03-03,37.930000,38.680000,37.849998,38.349998,35.959026,1325800
